Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
Quantitative Researcher (Intraday Stat-Arb),"$200,000 - $250,000 base + bonus (First-Year Guaranteed). We’re working with a global multi-strat fund with one of the strongest reputations on the street, known for top-tier talent, strong infrastructure, and a genuinely collaborative setup. They’re currently hiring for a newer pod, led by a proven PM who’s just come off a 24-month non-compete and is now looking to build out the team. What you’ll be doing: Research in the high- to mid-frequency space across cash equities Work across the full pipeline: feature engineering → signal generation → modelling → implementation Collaborate closely within a lean, high-performing team, all working towards the same goal (generating PnL in case it wasn’t clear) Who you are: MS or PhD in a STEM discipline, preferably in applied mathematics/statistics 2+ years in systematic alpha research, ideally with high-frequency data Good understanding of market microstructure Machine learning experience is a plus Proficiency in Python is a must. Exposure to C++ is nice to have Overall, this is a great opportunity for someone who enjoys building from scratch and wants to make an immediate impact. If you’d like to learn more, don’t hesitate to click apply!",N/A,"2+ years in systematic alpha research, ideally w","Hong Kong, London, New York",Durlston Partners,https://durlstonpartners.com/jobs/quantitative-researcher-intraday-stat-arb/,Onsite
Chief Technology Officer (CTO),"£200k base. Who? Working with a leading trading technology company operating an ultra-low-latency algorithmic trading engine for institutional participants in the digital asset space. They’ve built something genuinely impressive — now they need the right person to own and scale it. Why? First CTO hire. Until now, technical leadership has been spread across the broader team, that’s no longer sustainable. They’ve made a deliberate decision: one strong technical leader, full authority, full accountability. The opportunity is to come in as the most senior technical person in the company and build from a position of real power. What? This is not a management role. Expect to be ~90% hands-on (writing code, owning the architecture, leading on security, and driving the product roadmap in lockstep with the CEO). You’ll lead a small, senior team as a playing coach. They don’t need managing. They need a technical peer who leads from the front. Own the full technology vision, platform architecture, and engineering standards Hands-on development, writing code, reviewing PRs, debugging production, shipping features Drive the product roadmap with the CEO, own prioritisation and trade-offs Take full ownership of information security posture and regulatory compliance Tech environment spans backend development, cloud infrastructure (Kubernetes, Terraform), CI/CD, DevSecOps, and enterprise security (IAM, OAuth 2.0, OIDC). Fintech or digital asset background is a strong plus (but attitude and depth matter most). Where? London office. 4 days onsite. Flat structure, direct line to the CEO, no layers between you and the decisions that matter.",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/chief-technology-officer-cto/,Onsite
Head of AI,"Head of AI – London We’re working with a well capitalised business in London that is looking for someone to lead the charge in building one of the most advanced AI systems on the planet. Think frontier LLMs. Think agentic systems. Think world models that actually understand stuff. You’ll be the architect of their AI strategy, the builder of their dream team, and the person who turns “what if” into “what’s next.” What You’ll Actually Do: Lead the Geeks (and Geniuses) Scale and inspire our AI org across research, engineering, safety, and product. Hire brilliant humans (and help them stay brilliant). Keep us lean, mean, and computationally efficient. Own the Model Define and deliver the roadmap to a frontier LLM. Make the big calls on architecture, training, data, and scale. Ensure we’re not just keeping up—but setting the pace. Dream in AGI Push beyond next-token prediction into world models, agents, and systems that can plan, simulate, and interact. Help us build the bridge from LLMs to general intelligence. Build the Platform Oversee the creation of an AI platform that actually works in the real world. Make it safe, scalable, and ready for enterprise workflows. Be the Grown-Up in the Room (When Needed) Set safety standards and release protocols. Navigate regulation without losing your sense of adventure. Be the face of our AI work to investors, partners, and the world. If this sounds like the type of role that could leverage your track record of leading teams that’ve built large models or complex AI platforms before, please apply to the link provided!",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/head-of-ai/,Onsite
Python Developer,"£150,000 - £175,000 Base + Bonus. Python Developer – Algorithmic Trading – London Let’s limit the corporate waffle here; our client is not building another to-do list app or the next social media (translation: advertising) giant. It’s an elite algorithmic trading firm in London which is hiring a Python Developer to build, maintain and optimise systems that sit at the very heart of their business. These systems to do not support the business, they are the business. Imagine building systems which handle millions of events everday, perform calculations in real time and touch every part of the company. Should you get dopamine hits from designing systems with maximum up time, this is likely a good fit. A day in the life? Design and implement core systesms which operate as the traffic control to an algorithmic trading operation Profile, optimise and ruthlessy refactor Python code Glue together the high performance C++ execution later with the core systems Designing the system to be as observable as possible by implementing monitoring, logging and alerting features Who you’re likely to be? A proud Computer Scientist with history of designing reliable, high-performance systems You know why __slots__ exist and when to use a deque versus a list You have a strong understanding of operating systems, memory management and how the kernel schedules threads Someone who knows that “perfect” can sometimes be the enemy of “done” Keen to build systems that sit at the coal-face of 24/7 trading? Please apply to the link attached!",N/A,N/A,"London, Remote, UK",Durlston Partners,https://durlstonpartners.com/jobs/python-developer/,Remote
Lead Quant Developer,"£200k-£550k. Trading System Developer – London – Up to £200k + Bonus + Equity Who? Working with a Global Prop Shop that has worked in traditional financial markets since the early 90s. They have diversified and branched out in the last decade, becoming one of the largest traders in emerging markets, such as Digital Assets. Why? The firm in question is looking to create a brand-new trading team that is looking to create a mission-critical, high-performance trading system from scratch. This will involve algorithmic development, trading system development, and low-latency coding. What? Greenfield trading system buildout using Python (along with newer tech such as Go & Rust). Along with creating solutions for platform connectivity and monitoring systems. Flat structure, allowing for collaboration with traders, researchers, and software engineers within the small group, as well as elsewhere within the larger organization. Where? This firm has 10 worldwide offices, including one in London. This role also offers remote working flexibility, full-time. How much? I quote “Pockets are wide open”. Expect a base of up to £300k + bonus + equity.",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/lead-quant-developer/,Remote
Principal Engineer (Python),"£180k-£350k. We are working with a scientifically-driven asset management firm, researching and developing state-of-the-art scientific investment processes. These apply to investors, both as an alternative and a complement to the traditional discretionary bond markets. They’re a well-established, but fairly early-stage (less than 200 employees) trading firm based in London, dedicated to becoming a leading figure. Looking for a Principal Engineer, need a “go to person” for Finance & Tech questions. This will be a nice mixture of leadership/hands-on responsibilities within their Engineering function, contributing to a broad range of front-office and systems-based projects. Tech: Python (and Rust, prior experience not mandatory, but willingness to learn). Compensation package north of £180k base, with equity from day one and a bonus on top. They have one of the best cultures in the industry including lots of flexibility and an office that people choose to go to. Given their relatively early stage, they’re massive on ownership and offer you the ability to set the standards for the engineering teams.",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/principal-engineer-python/,Onsite
C++ Engineer,"Ever built something from scratch and seen it become the fastest thing in the market? A London based trading tech firm is hiring C++ engineers to help build what they (and their clients) genuinely believe is the most advanced trading engine in crypto. It’s low latency, ML integrated, and already live with some of the biggest institutional players in the space. No legacy, no noise, no middle layers, just a small team of serious engineers moving fast. You’ll be solving real problems like: High-frequency execution across CeFi and DeFi TCA at microsecond resolution Smart routing, net settlement, and soon, crypto options (basically untouched territory) You’ll be working side by side with someone who: Started coding at 5 years old Built the algo behind 75% of global derivatives flow at a top 3 bank ($100m P&L in 4 years) Got personally commended for his C++ by the founder of the language 4 days in, up to £200k base, 3 stage process. If you get a kick out of shaving micros/nanos off a system and want to build something with zero compromises, apply.",N/A,5 years old Built the algo behind 75% of global,London,Durlston Partners,https://durlstonpartners.com/jobs/c-engineer-4/,Onsite
Quantitative Portfolio Manager,"Now, you may think we’ve been somewhat sneaky in gaining your attention by using this job title for responsibilities outside of actually running a portfolio… bear with me. We’ve been working with an extraordinarily talented systematic research firm in the UAE which is looking to further scale their data research capacity. What’s interesting here though, is that they’re looking at hiring people who have previously built (and run) systematic trading strategies from scratch. Why? You’ll have run the full research‑to‑production pipeline: idea generation, data acquisition, model design, backtesting, deployment, and monitoring, which is exactly what their data research lead needs to orchestrate for others. You know what it’s like to live with data issues in live portfolios (latency, survivorship bias, corporate actions, data revisions), so you’ll be well placed to set high standards for data quality, documentation, and tooling. You’ve owned PnL, so know first hand which data and research efforts actually move the needle in terms of Sharpe, drawdown, capacity, and transaction costs, so they can prioritize projects with real alpha or risk‑reduction impact. So what do they need? Well, in this instance it’s broad but very specific. Have you previously built, run and improved profitable systematic trading strategies from scratch before? If yes, I would love to hear from you. It’s worth noting that this opportunity requires full-time relocation to the UAE with full benefits (incl. family) provided.",N/A,N/A,"Europe, Hong Kong, Singapore, USA",Durlston Partners,https://durlstonpartners.com/jobs/quantitative-portfolio-manager/,Onsite
期权交易员,"We may have a home for you in Shanghai at a globally renowned trading firm. They’re on the hunt for an Options Trader (Vol Whisperer), so if you see the world in probabilistic shades of Greeks, this may be for you. This is for a brand new trading desk, so you can expect your impact on PnL to be seen, felt and heard… providing one of your colleagues is happy to shout about how great you are. What will this look like? Automating liquidity provision for Options Directing Delta, Theta, Gamma and Vega as if they’re an orchestra, playing in harmony to make you (and the company) money Spotting hidden patterns and having the freedom to act on your convictions with discretionary trading What do they need from you? An obsessive understanding of Options Proven experience market-making in options (equity, index, FX, rates) A strong understanding of quant trading models, balanced with gut-feel intuition Business fluency of Mandarin What they can give you? Greenfield work; this is not a backfill, you will be building from the ground up Freedom to take risks with capital. No risk no reward. Full relocation expenses and services covered to relocate to Shanghai A friendly team of weirdos who get excited about skew and convexity",N/A,N/A,Shanghai,Durlston Partners,https://durlstonpartners.com/jobs/%e6%9c%9f%e6%9d%83%e4%ba%a4%e6%98%93%e5%91%98/,Onsite
Software Engineer (HFT),"Up to £150,000 base + large bonus upside. Software Engineer – HFT – Remote – up to £150,000 base + large bonus upside This is a long-term engineering role in a firm where people tend to stay, systems evolve over years, and impact compounds over time. You’ll be joining a highly respected trading business operating at the sharp end of global digital asset markets. The engineering team is small, senior, and trusted, with direct ownership of the firm’s core trading systems. It’s an environment built around autonomy, judgement, and accountability rather than process and politics. The company is large enough to be a recognised and respected name in the market, yet small enough that your work is visible and genuinely matters. Leadership is stable and well-regarded, and the culture strongly favours long-term thinking over short-term churn. Why you’d want this role Top-tier compensation for a fully remote position Fully remote by design, offering genuine flexibility and autonomy A high-trust environment where engineers are empowered to make decision Respected, stable leadership, with a highly rated CEO Work alongside engineers and traders with Tier-1 proprietary trading background Low staff turnover and a culture focused on longevity and quality Small enough to be visible, large enough to be a serious market participant The challenges you’ll be solving Designing and evolving core trading systems in fast-moving, competitive markets Building infrastructure that processes millions of transactions across multiple venues and asset types Tackling performance, reliability, and scalability challenges in systems that run 24/7 Working closely with traders and front-office stakeholders to turn real-world problems into production systems Continuously improving live systems while supporting active trading What you’ll bring Strong commercial experience building production systems in Python and C++ A solid grounding in data structures and algorithms, applied to performance-critical systems An excellent academic background in Computer Science, Engineering, or a related discipline Experience working closely with traders or front-office teams A strong sense of ownership and responsibility for the systems you build This position is remote within European time zones, and you will have to prove full right to work in the country you wish to be employed in. We recognise that individuals are not just checkboxes. If you’re intrigued by this opportunity but unsure if it’s the right fit, fee",N/A,N/A,"Europe, Remote",Durlston Partners,https://durlstonpartners.com/jobs/3127/,Remote
