Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
Channel Operations Manager,"Channel Operations Manager Location: Delhi Experience: 2-5 Years Employment Type: [Full-time - add this] About the Role We're seeking a detail-oriented Channel Operations Manager to drive excellence across our partner ecosystem. You'll be the operational backbone of our channel strategy, ensuring seamless execution from partner onboarding through revenue realisation. This role is ideal for someone who thrives at the intersection of operations, sales enablement, and partner success. Key Responsibilities Channel Management & Governance • Manage end-to-end operations across partner, reseller, and ISV channels • Own partner onboarding workflows including documentation, KYC compliance, and contract lifecycle management • Oversee partner contracting and agreement processes ensuring legal and commercial alignment • Coordinate financial reconciliation, payout processing, and commission tracking • Schedule and facilitate quarterly business reviews (QBRs) with strategic partners Sales & Performance Operations • Track and report on monthly/quarterly channel pipeline, bookings, and revenue metrics • Monitor partner activity including deal submissions, deal registrations, and opportunity progression • Drive channel forecast accuracy through regular pipeline reviews and funnel discipline • Build and maintain dashboards for channel performance visibility • Identify trends and provide actionable insights to channel leadership Enablement & Partner Support • Coordinate partner training programs, certification schedules, and GTM readiness initiatives • Maintain and optimize the partner portal, content repository, and sales enablement materials • Serve as first-line support for partner operational queries and escalations • Create and document standard operating procedures (SOPs) for channel processes • Facilitate communication between partners and internal teams (sales, finance, product) Requirements Qualifications Required: • 2-5 years of experience in channel operations, sales operations, revenue operations, or partnership operations • Hands-on expertise with CRM platforms (Salesforce, Zoho, or HubSpot) • Advanced proficiency in Excel/Google Sheets including pivot tables, VLOOKUP, and data analysis • Strong understanding of channel sales models, partner economics, and commission structures • Excellent stakeholder management and cross-functional collaboration skills • Exceptional attention to detail with a process-driven mindset • Strong written and verbal communication skil",11-01-2026,2-5 Years,"Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000008987367/Channel-Operations-Manager?source=CareerSite,Onsite
Community Manager,"Designation: Community Manager Department: Marketing Location: New Delhi Qualifications: Bachelor’s / Master’s Degree in Business/ Communication/ Journalism (not compulsory) Experience: 5+ years in Community and Event marketing About the role Given our dynamic space, there is no typical day at work. Every day is about thinking and solving new challenges that come our way and ensuring that we meet the high expectations that the restaurant community has of us while delivering business outcomes. As a Community Manager, you will lead our online voice and create a thriving community by bringing together industry experts, frontline teams, customers, and prospects by engaging them in meaningful events and forums. To succeed in this role, you will need to act as a service provider whose primary goal is to serve the community's stakeholders, create learning opportunities, stay abreast of new developments and opportunities in the industry, and be a strategic thinker. You must have an outgoing personality as networking will be a vital part of the job. The role might require extensive travel within and outside of the country. Requirements What you’ll do: Create a holistic community program that engages audiences including Customers (restaurant owners, CXOs, CIOs), Consultants, Partners, Influencers, and future-thinking thought leaders Identify and develop relationships with key influencers, industry leaders, and relevant organizations to promote collaboration and partnership opportunities Organize and manage community events, webinars, and meetups to build brand awareness, showcase company offerings, and foster community growth Analyse key community metrics and provide regular reports to management on community growth, engagement, and trends Partner closely with the Marketing, Sales, Product, and Partner teams to align on building a series of networking opportunities for the business teams through offline events, networking dinners, webinars, podcasts, and other channels Actively build, track, and manage a community of customers, prospects, and partners and proactively create campaigns to engage with them on deeper levels Event Planning and Production Management including, but is not limited to: Identify the most relevant events in the F&B and Technology domain worldwide Maintain connections with relevant stakeholders, event associations, and organisers Create and manage the timeline, program, and task list for all events Coming up with new and innovative ideas – both",11-01-2026,5+ years in Community and Event marketing About,"Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000008958073/Community-Manager?source=CareerSite,Onsite
Enterprise sales specialist/Account Sales Executive,"JOB DESCRIPTION – Enterprise solution specialist/Account Executive/Enterprise sales specialist About us Restroworks is a leading cloud-based restaurant technology platform that powers over 20,000 restaurants in 50+ countries. It allows enterprise restaurant operators to grow at scale, improve bottom-line efficiency, and deliver a consistent guest experience. Restroworks unified technology platform empowers restaurants with a full-stack cloud, including Point of Sale (POS), Inventory Management, Integrations, Analytics, and CRM. Renowned restaurant chains, including Subway, Taco Bell, Nando’s, Caribou Coffee, Carl’s Jr., and Häagen-Dazs, are among the many brands using Restroworks to manage their processes, people, and places of operation. Restroworks has been awarded as a global leader in Restaurant Management Software by G2 and recognized as a Great Place to Work-Certified™ organization. To know more, visit www.restroworks.com Job Description As an Sales expert, you will be responsible for driving revenue growth by addressing the unique needs and interests of each customer and partner. You will develop business plans that align with the assigned geographic and business needs, and collaborate with marketing to develop and execute marketing plans through and with end-users and partners. In this role, you will work closely with the sales and marketing teams to drive prospects through the pipeline, and you will strive to maintain the highest level of customer and partner satisfaction within the accounts in your territory. Responsibilities: Responding to customer and partner inquiries, providing them with the appropriate information and solutions based on their specific needs and interests Majorly will be handling the enterprise clients with the complete sales motion from Lead generation to Closure. Engaging and working with business partners as appropriate Following up on all leads supplied and ensuring internal systems are updated Understanding and working through all aspects of the sales cycle, including qualifying, presentations, demonstrations, RFP responses, negotiations, and the closing process Developing and maintaining a deep understanding of the territory, including customers, prospects, partners, influencers, and competitors Maintaining a positive, professional attitude and demonstrating the company’s core values Coordinating, planning, and scheduling sales support functions with technical sales staff Leveraging relationships to open doors to new st",02-05-2026,N/A,"Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000010414011/Enterprise-sales-specialist-Account-Sales-Executive?source=CareerSite,Onsite
Key accounts manager,"JOB DESCRIPTION – Key Account Manager About us: Restroworks (formerly Posist) is a leading cloud-based enterprise technology platform that powers over 20,000 restaurants globally. Restroworks offers a unified cloud technology platform that streamlines restaurants' Front-of-House (FOH), Back-of-House (BOH), Integrations, Analytics, and CRM. Renowned restaurant chains, including Taco Bell, Subway, Carl’s Jr, Sbarro Pizza, are powered by the platform. Restroworks is certified with ISO 27001, ISO 27017, ISO 27701, SOC1 Type 2, SOC 2 Type 2, and GDPR compliant. The company is a Great Place to Work-Certified™ organization, placing it among one of the top employers of choice. Restroworks is on a mission to make global restaurants prosperous. For more information, visit www.restroworks.com Job Description: If you are someone who picks up customer calls anytime anywhere. Be a partner to your key accounts in their good, bad and ugly times. Juggle between various teams to stuff done. Customer satisfaction is your top priority. Doing the difficult job of saying no to customer requests while fully aligned with splicing their key problem requires product and domain knowledge as well as conviction. Empathy and understanding that any issue hampering operations needs to be resolved on time. You don’t mind stepping into the support team’s shoes and helping the customer if need be. Good account managers run business great ones build further, we expect you to get new logos through customer references. Good writing skills as documenting MoM is important. Conducting MBR/QBR’s is a vital part of the role, mind of a project manager and heart of customer relations. Frequent travelling/customer onsite visits is our bloodline. Opportunity to be a part of some of the largest F&B events globally. When you do all of the above, upsell and cross sell become a part of the play for our as well as our customer’s growth. You will be a jack of all trades, so that customer can reach out to you for anything and everything. Therefore constant learning and good product knowledge is imperative. Developing trust relationships with a portfolio of major clients. Acquiring a thorough understanding of key customer requirements and expanding the relationships with existing customers by continuously proposing solutions that meet their objectives. Should serve as a link of communication between key customers and internal teams. Delivering service and support to clients using phone, via remote connection o",26-09-2025,N/A,"New Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000000587135/Key-accounts-manager?source=CareerSite,Onsite
Legal Counsel,"About us: Restroworks (formerly Posist) is a leading cloud-based enterprise restaurant technology platform, powering more than 23,000 restaurants globally. The unified cloud platform of Restroworks empowers restaurant operators to grow at scale, improve bottom-line efficiency, and deliver a consistent guest experience at all touchpoints. The Restroworks platform is designed for restaurants of all formats and sizes, including Quick-Service Restaurants (QSR), Fine-Dine Restaurants, Cloud Kitchens, Fast Casual, Food Courts, and Hotel Restaurant Chains. It offers a comprehensive suite of products, including Front-of-House, Back-of-House, Kitchen Suite, Digital Ordering, Integrations, Reports, and Analytics. Renowned restaurant chains such as Taco Bell, Subway, Nando’s, Carl’s Jr, Häagen-Dazs, Arby’s, and Caribou Coffee are among the many brands using Restroworks to manage their processes, people, and places of operation. With teams across the Middle East, Asia Pacific, North America, and Latin America, the company serves leading restaurant chains in over 50 countries. Restroworks is on a mission to make global restaurants prosperous. For more information, visit www.restroworks.com. We have been named the Best POS software by Gartner Digital Markets. Recognized by Capterra, Software Advice & Getapp for excellence in 2025 Legal Counsel – Restroworks Location: Delhi | In-person | 5 days a week Experience: 5-6 years PQE About us: Restroworks (formerly Posist) is a leading cloud-based enterprise restaurant technology platform, powering more than 23,000 restaurants globally. The unified cloud platform of Restroworks empowers restaurant operators to grow at scale, improve bottom-line efficiency, and deliver a consistent guest experience at all touchpoints. The Restroworks platform is designed for restaurants of all formats and sizes, including Quick-Service Restaurants (QSR), Fine-Dine Restaurants, Cloud Kitchens, Fast Casual, Food Courts, and Hotel Restaurant Chains. It offers a comprehensive suite of products, including Front-of-House, Back-of-House, Kitchen Suite, Digital Ordering, Integrations, Reports, and Analytics. Renowned restaurant chains such as Taco Bell, Subway, Nando’s, Carl’s Jr, Häagen-Dazs, Arby’s, and Caribou Coffee are among the many brands using Restroworks to manage their processes, people, and places of operation. With teams across the Middle East, Asia Pacific, North America, and Latin America, the company serves leading restaurant chains in ov",11-02-2026,5-6 years,"Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000008553146/Legal-Counsel?source=CareerSite,Onsite
PR Specialist,"Restroworks is seeking an experienced and dynamic Public Relations (PR) Manager to join our growing team. The PR Manager will be responsible for developing and implementing public relations strategies that increase brand awareness, enhance the company's reputation, and support our business objectives. The candidate will contribute to the overall communications strategy in India and International markets such as US, UK & Middle East. The ideal candidate will have a proven track record of managing successful PR campaigns, excellent communication skills, and a strong understanding of the media landscape, particularly within the technology and restaurant industries. What you’ll do: ​ ● Develop and execute comprehensive public relations strategies to support business objectives, product launches, and company announcements. ● Work on a holistic PR strategy to generate top line awareness in India, the US & Middle East region ● Manage Internal communications channels of the company like newsletters and initiatives ● Identify and engage with key media outlets, journalists, and influencers within the technology and restaurant industries to secure high-quality coverage and increase brand visibility ● Manage and maintain the company's media and influencer contact database ● Coordinate and manage media interviews, speaking engagements and award entries for company executives ● Write and distribute press releases, media pitches, and other communication materials to support PR campaigns ● Monitor and analyze media coverage, PR campaign performance, and industry trends to inform future strategies and tactics ● Collaborate with internal teams, including marketing, product management, and customer success, to ensure consistent messaging and integrated communication efforts Requirements ● Minimum 3- 5 years of communications experience - external, internal, in-house or agency, journalism, or elsewhere ● Exceptional writing skills and the ability to adapt the style, tone, and voice of our business for various types of content ● Excellent communicator and creative thinker with an ability to use data to inform all decisions ● Proven track record of executing successful PR campaigns and securing high-quality media coverage ● Strong understanding of the media landscape and established relationships with key journalists and influencers ● Exceptional written and verbal communication skills, with the ability to craft compelling stories and adapt messaging for different audiences Ben",17-11-2025,3- 5 years,"New Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000009065285/PR-Specialist?source=CareerSite,Onsite
QA Tester,"At Posist, as a QA Engineer, you are primarily responsible for reviewing quality specifications and technical design documents to provide timely and meaningful feedback. Other tasks include developing and running new tests, reporting on the results and collaborating with software developers to fix program issues. Responsibilities Proven experience as a “Quality Assurance Tester” Ability to document and troubleshoot errors Analytical mind and problem-solving aptitude Review requirements, specifications and technical design documents to provide timely and meaningful feedback Create detailed, comprehensive and well-structured test scenarios, test plans and test cases Estimate, prioritize, plan and coordinate testing activities Must have experience on web based and mobile applications Bug tracking tools like: Bugzilla, Jira, Zoho Requirements Hands on experience with test Management tool, defect tracking tool, web & mobile technologies, STLC Rational analysis & logical thinking Testing techniques Test planning & documentation Good verbal and written communication skills Ability to multitask, work in a fast-paced environment Have a high-level attention to detail Ability to work independently and to partner with others to promote an environment of teamwork Excellent advanced knowledge on MS office suites: Excel/Word/PPT is a MUST Benefits Get your hands on one of the best restaurant SaaS products Work with 18,000+ happy brands in 50 countries Be a part of a small & friendly team of marketers Open and transparent work culture",09-05-2025,N/A,"New Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000000861650/QA-Tester?source=CareerSite,Onsite
Sales Development Representative,"You would be responsible for managing both inbound and outbound prospecting campaigns to provide highly qualified SQLs to designated account executives. Responsibilities Manage both inbound and outbound prospecting campaigns to provide highly qualified SQLs to designated account executives Generate appointments by means of proactive outbound prospecting to accounts Collaborate with the sales team members to penetrate ABM targeted accounts with innovative and strategic approaches based on territory Work directly with sales and marketing to drive prospects through the pipeline Research & Identify new accounts, contacts and opportunities with segment Follow-up diligently and methodically on all prospective leads Utilize Hubspot & Linkedin to ensure activities are planned & documented properly Will run both transactional and strategic campaigns for NAMED ACCOUNTS within a particular geography/Industry All inbound leads that are identified as named accounts will be matched and routed to the dedicated SDR Any inbound lead that is not identified as a named account will be managed via SDR round robin for qualification Once qualified, the lead will be routed to the appropriate regional Director for distribution to the AE Requirements Lead generation Outbound sales CRM and demand generation Business development and follow-ups Benefits Get your hands on one of the best restaurant SaaS products Work with 25,000+ happy brands in 50 countries Be a part of a small & friendly team of marketers Open and transparent work culture",06-01-2026,N/A,"New Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000000587238/Sales-Development-Representative?source=CareerSite,Onsite
Senior Enterprise Sales specialist- Riyadh,"About us Restroworks is a leading cloud-based restaurant technology platform that powers over 20,000 restaurants in 50+ countries. It allows enterprise restaurant operators to grow at scale, improve bottom-line efficiency, and deliver a consistent guest experience. Restroworks unified technology platform empowers restaurants with a full-stack cloud, including Point of Sale (POS), Inventory Management, Integrations, Analytics, and CRM. Renowned restaurant chains, including Subway, Taco Bell, Nando’s, Caribou Coffee, Carl’s Jr., and Häagen-Dazs, are among the many brands using Restroworks to manage their processes, people, and places of operation. Restroworks has been awarded as a global leader in Restaurant Management Software by G2 and recognized as a Great Place to Work-Certified™ organization. To know more, visit www.restroworks.com Our Podcast channel, www.restrocast.com and please visit our Linked in page and other social media page. Job Description As an Senior Enterprise Sales specialist, you will be responsible for driving revenue growth by addressing the unique needs and interests of each customer and partner. You will develop business plans that align with the assigned geographic and business needs, and collaborate with marketing to develop and execute marketing plans through and with end-users and partners. In this role, you will work closely with the sales and marketing teams to drive prospects through the pipeline, and you will strive to maintain the highest level of customer and partner satisfaction within the accounts in your territory. Requirements Responsibilities: Responding to customer and partner inquiries, providing them with the appropriate information and solutions based on their specific needs and interests Engaging and working with business partners as appropriate Following up on all leads supplied and ensuring internal systems are updated Understanding and working through all aspects of the sales cycle, including qualifying, presentations, demonstrations, RFP responses, negotiations, and the closing process Developing and maintaining a deep understanding of the territory, including customers, prospects, partners, influencers, and competitors One needs to have a good hold over the Arabic language to penetrate deeper in the local KSA and GCC market. Maintaining a positive, professional attitude and demonstrating the company’s core values Coordinating, planning, and scheduling sales support functions with technical sales staff Leverag",01-10-2025,N/A,"Riyadh, Riyadh, Saudi Arabia",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000003191015/Senior-Enterprise-Sales-specialist--Riyadh?source=CareerSite,Onsite
Senior Enterprise Sales Specialist- North,"About us Restroworks is a leading cloud-based restaurant technology platform that powers over 20,000 restaurants in 50+ countries. It allows enterprise restaurant operators to grow at scale, improve bottom-line efficiency, and deliver a consistent guest experience. Restroworks unified technology platform empowers restaurants with a full-stack cloud, including Point of Sale (POS), Inventory Management, Integrations, Analytics, and CRM. Renowned restaurant chains, including Subway, Taco Bell, Nando’s, Caribou Coffee, Carl’s Jr., and Häagen-Dazs, are among the many brands using Restroworks to manage their processes, people, and places of operation. Restroworks has been awarded as a global leader in Restaurant Management Software by G2 and recognized as a Great Place to Work-Certified™ organization. To know more, visit www.restroworks.com Job Description As an Senior Enterprise Sales specialist- North, you will be responsible for driving revenue growth by addressing the unique needs and interests of each customer and partner. You will develop business plans that align with the assigned geographic and business needs, and collaborate with marketing to develop and execute marketing plans through and with end-users and partners.This is a heavy Enterprise and large enterprise clients sales role where we are ideally looking for candidates who have driven High Ticket sizes, Heave revenues on ARR/MRR Basis and understands the sentivity and Time lines for lons sales cycles from Business perspective. In this role, you will work closely with the sales and marketing teams to drive prospects through the pipeline, and you will strive to maintain the highest level of customer and partner satisfaction within the accounts in your territory. Responsibilities: Responding to customer and partner inquiries, providing them with the appropriate information and solutions based on their specific needs and interests Engaging and working with business partners as appropriate Following up on all leads supplied and ensuring internal systems are updated Understanding and working through all aspects of the sales cycle, including qualifying, presentations, demonstrations, RFP responses, negotiations, and the closing process Developing and maintaining a deep understanding of the territory, including customers, prospects, partners, influencers, and competitors Maintaining a positive, professional attitude and demonstrating the company’s core values Coordinating, planning, and scheduling sales ",16-12-2025,N/A,"Delhi, Delhi, India",Restroworks,https://careers.restroworks.com/jobs/Careers/720131000007677003/Senior-Enterprise-Sales-Specialist--North?source=CareerSite,Onsite
